"Animal","Body weight (kg)","Brain weight (g)"
"bbMountain beaver",1!35,8!1
"bbCow",465,423
"bbGrey wolf",36!33,119!5
"bbGoat",27!66,115
"bbGuinea pig",1!04,5!5
"bbDipliodocus",11700,50
"bbAsian elephant",2547,4603
"bbDonkey",187!1,419
"bbHorse",521,655
"bbPotar monkey",10,115
"bbCat",3!3,25!6
"bbGiraffe",529,680
"bbGorilla",207,406
"bbHuman",62,1320
"bbAfrican elephant",6654,5712
"bbTriceratops",9400,70
"bbRhesus monkey",6!8,179
"bbKangaroo",35,56
"bbGolden hamster",0!12,1
"bbMouse",0!023,0!4
"bbRabbit",2!5,12!1
"bbSheep",55!5,175
"bbJaguar",100,157
"bbChimpanzee",52!16,440
"bbRat",0!28,1!9
"bbBrachiosaurus",87000,154!5
"bbMole",0!122,3
"bbPig",192,180